"","mtry","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config","model"
"39",175,6,9,4.90336544822046e-05,3.05530867910181e-06,0.771378792800941,"accuracy","binary",0.713554338668022,5,0.00184892956793892,"Preprocessor1_Model20","XGBOOST(Tuned)"
"40",175,6,9,4.90336544822046e-05,3.05530867910181e-06,0.771378792800941,"roc_auc","binary",0.614981518249309,5,0.00686908974041246,"Preprocessor1_Model20","XGBOOST(Tuned)"
"41",5,8,2,1.71200861127189e-05,0.000110808714608485,0.929847561535425,"accuracy","binary",0.713441799429862,5,0.000594082067542355,"Preprocessor1_Model21","XGBOOST(Tuned)"
"42",5,8,2,1.71200861127189e-05,0.000110808714608485,0.929847561535425,"roc_auc","binary",0.575993896885572,5,0.00347283204007069,"Preprocessor1_Model21","XGBOOST(Tuned)"
"43",127,19,8,8.49181533150615e-08,2.65746207494473e-07,0.165656909153797,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model22","XGBOOST(Tuned)"
"44",127,19,8,8.49181533150615e-08,2.65746207494473e-07,0.165656909153797,"roc_auc","binary",0.601608704899975,5,0.00364113882360333,"Preprocessor1_Model22","XGBOOST(Tuned)"
"45",60,30,6,0.00223123374879524,0.00188323107394862,0.537009970797226,"accuracy","binary",0.715225461053184,5,0.000815465499583844,"Preprocessor1_Model23","XGBOOST(Tuned)"
"46",60,30,6,0.00223123374879524,0.00188323107394862,0.537009970797226,"roc_auc","binary",0.611695114720718,5,0.00504541889978355,"Preprocessor1_Model23","XGBOOST(Tuned)"
"47",278,28,14,1.61264615621718e-09,5.14189941049057e-07,0.730030018042773,"accuracy","binary",0.713776433912492,5,0.000593779864175303,"Preprocessor1_Model24","XGBOOST(Tuned)"
"48",278,28,14,1.61264615621718e-09,5.14189941049057e-07,0.730030018042773,"roc_auc","binary",0.604146419748827,5,0.0041995237525674,"Preprocessor1_Model24","XGBOOST(Tuned)"
"49",85,16,7,4.99460021933219e-07,1.24302622750162e-05,0.385562119254842,"accuracy","binary",0.715337068126648,5,0.000983277507682542,"Preprocessor1_Model25","XGBOOST(Tuned)"
"50",85,16,7,4.99460021933219e-07,1.24302622750162e-05,0.385562119254842,"roc_auc","binary",0.609111747543863,5,0.00400373160681906,"Preprocessor1_Model25","XGBOOST(Tuned)"
