"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config","model"
"136",1e-04,0.75,"roc_auc","binary",0.571272700672537,5,0.00723661701701997,"Preprocessor1_Model23","Logistic regression(Tuned)"
"137",1e-04,0.75,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model23","Logistic regression(Tuned)"
"138",1e-04,0.75,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model23","Logistic regression(Tuned)"
"139",0.001,0.75,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model24","Logistic regression(Tuned)"
"140",0.001,0.75,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model24","Logistic regression(Tuned)"
"141",0.001,0.75,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model24","Logistic regression(Tuned)"
"142",0.001,0.75,"roc_auc","binary",0.571272700672537,5,0.00723661701701997,"Preprocessor1_Model24","Logistic regression(Tuned)"
"143",0.001,0.75,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model24","Logistic regression(Tuned)"
"144",0.001,0.75,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model24","Logistic regression(Tuned)"
"145",0.01,0.75,"accuracy","binary",0.715447805212058,5,0.000856633129341214,"Preprocessor1_Model25","Logistic regression(Tuned)"
"146",0.01,0.75,"f_meas","binary",0.833843949251553,5,0.000407480774711349,"Preprocessor1_Model25","Logistic regression(Tuned)"
"147",0.01,0.75,"kap","binary",0.00675039551077086,5,0.00446732802767054,"Preprocessor1_Model25","Logistic regression(Tuned)"
"148",0.01,0.75,"roc_auc","binary",0.56988195888509,5,0.0075976030391561,"Preprocessor1_Model25","Logistic regression(Tuned)"
"149",0.01,0.75,"sens","binary",0.999687987519501,5,0.00019106784265079,"Preprocessor1_Model25","Logistic regression(Tuned)"
"150",0.01,0.75,"spec","binary",0.0050682261208577,5,0.00323844984909087,"Preprocessor1_Model25","Logistic regression(Tuned)"
"151",0.1,0.75,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model26","Logistic regression(Tuned)"
"152",0.1,0.75,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model26","Logistic regression(Tuned)"
"153",0.1,0.75,"kap","binary",0,5,0,"Preprocessor1_Model26","Logistic regression(Tuned)"
"154",0.1,0.75,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model26","Logistic regression(Tuned)"
"155",0.1,0.75,"sens","binary",1,5,0,"Preprocessor1_Model26","Logistic regression(Tuned)"
"156",0.1,0.75,"spec","binary",0,5,0,"Preprocessor1_Model26","Logistic regression(Tuned)"
"157",1,0.75,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model27","Logistic regression(Tuned)"
"158",1,0.75,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model27","Logistic regression(Tuned)"
"159",1,0.75,"kap","binary",0,5,0,"Preprocessor1_Model27","Logistic regression(Tuned)"
"160",1,0.75,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model27","Logistic regression(Tuned)"
"161",1,0.75,"sens","binary",1,5,0,"Preprocessor1_Model27","Logistic regression(Tuned)"
"162",1,0.75,"spec","binary",0,5,0,"Preprocessor1_Model27","Logistic regression(Tuned)"
"163",10,0.75,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model28","Logistic regression(Tuned)"
"164",10,0.75,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model28","Logistic regression(Tuned)"
"165",10,0.75,"kap","binary",0,5,0,"Preprocessor1_Model28","Logistic regression(Tuned)"
"166",10,0.75,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model28","Logistic regression(Tuned)"
"167",10,0.75,"sens","binary",1,5,0,"Preprocessor1_Model28","Logistic regression(Tuned)"
"168",10,0.75,"spec","binary",0,5,0,"Preprocessor1_Model28","Logistic regression(Tuned)"
"169",1e-05,1,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model29","Logistic regression(Tuned)"
"170",1e-05,1,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model29","Logistic regression(Tuned)"
"171",1e-05,1,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model29","Logistic regression(Tuned)"
"172",1e-05,1,"roc_auc","binary",0.571259325248653,5,0.00723535182653377,"Preprocessor1_Model29","Logistic regression(Tuned)"
"173",1e-05,1,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model29","Logistic regression(Tuned)"
"174",1e-05,1,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model29","Logistic regression(Tuned)"
"175",1e-04,1,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model30","Logistic regression(Tuned)"
