,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
109,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
110,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
111,kap,binary,0,5,0,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
112,roc_auc,binary,0.564163674,5,0.008565673,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
113,sens,binary,1,5,0,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
114,spec,binary,0,5,0,Preprocessor1_Model12,Logistic regression(Tuned),0.1,0.25,NA,NA,NA
115,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
116,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
117,kap,binary,0,5,0,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
118,roc_auc,binary,0.5,5,0,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
119,sens,binary,1,5,0,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
120,spec,binary,0,5,0,Preprocessor1_Model13,Logistic regression(Tuned),1,0.25,NA,NA,NA
121,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
122,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
123,kap,binary,0,5,0,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
124,roc_auc,binary,0.5,5,0,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
125,sens,binary,1,5,0,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
126,spec,binary,0,5,0,Preprocessor1_Model14,Logistic regression(Tuned),10,0.25,NA,NA,NA
127,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
128,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
129,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
130,roc_auc,binary,0.571263291,5,0.007225104,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
131,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
132,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model15,Logistic regression(Tuned),1.00E-05,0.5,NA,NA,NA
133,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
134,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
135,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
136,roc_auc,binary,0.571263291,5,0.007225104,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
137,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
138,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model16,Logistic regression(Tuned),1.00E-04,0.5,NA,NA,NA
139,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
140,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
141,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
142,roc_auc,binary,0.571263291,5,0.007225104,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
143,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
144,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model17,Logistic regression(Tuned),0.001,0.5,NA,NA,NA
145,accuracy,binary,0.715782253,5,0.000927202,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
146,f_meas,binary,0.833985501,5,0.000424343,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
147,kap,binary,0.008732125,5,0.005086343,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
148,roc_auc,binary,0.570389508,5,0.007512655,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
149,sens,binary,0.999531981,5,0.000312012,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
150,spec,binary,0.006628442,5,0.003829569,Preprocessor1_Model18,Logistic regression(Tuned),0.01,0.5,NA,NA,NA
151,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
152,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
153,kap,binary,0,5,0,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
154,roc_auc,binary,0.5,5,0,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
155,sens,binary,1,5,0,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
156,spec,binary,0,5,0,Preprocessor1_Model19,Logistic regression(Tuned),0.1,0.5,NA,NA,NA
157,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
158,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
159,kap,binary,0,5,0,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
160,roc_auc,binary,0.5,5,0,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
161,sens,binary,1,5,0,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
162,spec,binary,0,5,0,Preprocessor1_Model20,Logistic regression(Tuned),1,0.5,NA,NA,NA
163,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
164,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
165,kap,binary,0,5,0,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
166,roc_auc,binary,0.5,5,0,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
167,sens,binary,1,5,0,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
168,spec,binary,0,5,0,Preprocessor1_Model21,Logistic regression(Tuned),10,0.5,NA,NA,NA
169,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
170,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
171,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
172,roc_auc,binary,0.571272701,5,0.007236617,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
173,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
174,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model22,Logistic regression(Tuned),1.00E-05,0.75,NA,NA,NA
175,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
176,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
177,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
178,roc_auc,binary,0.571272701,5,0.007236617,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
179,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
180,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model23,Logistic regression(Tuned),1.00E-04,0.75,NA,NA,NA
