"",".threshold","recall","precision","model"
"108",0.859512871692759,0.0129525593008739,0.775700934579439,"Logistic regression"
"109",0.859494430975437,0.0131086142322097,0.777777777777778,"Logistic regression"
"110",0.859168106750348,0.0132646691635456,0.779816513761468,"Logistic regression"
"111",0.858722620467628,0.0134207240948814,0.781818181818182,"Logistic regression"
"112",0.858116850555917,0.0135767790262172,0.783783783783784,"Logistic regression"
"113",0.858104987120448,0.0137328339575531,0.785714285714286,"Logistic regression"
"114",0.857926847288969,0.0138888888888889,0.787610619469027,"Logistic regression"
"115",0.857878246326366,0.0140449438202247,0.789473684210526,"Logistic regression"
"116",0.857699133860628,0.0142009987515605,0.791304347826087,"Logistic regression"
"117",0.857158353471228,0.0143570536828964,0.793103448275862,"Logistic regression"
"118",0.85707951037855,0.0143570536828964,0.786324786324786,"Logistic regression"
"119",0.856829228738722,0.0145131086142322,0.788135593220339,"Logistic regression"
"120",0.856767277512095,0.0145131086142322,0.781512605042017,"Logistic regression"
"121",0.856721333307781,0.014669163545568,0.783333333333333,"Logistic regression"
"122",0.856398874131164,0.0148252184769039,0.785123966942149,"Logistic regression"
"123",0.856000131190557,0.0149812734082397,0.786885245901639,"Logistic regression"
"124",0.855983870486543,0.0151373283395755,0.788617886178862,"Logistic regression"
"125",0.855978956008123,0.0152933832709114,0.790322580645161,"Logistic regression"
"126",0.855853378083555,0.0154494382022472,0.792,"Logistic regression"
"127",0.855659420080106,0.015605493133583,0.793650793650794,"Logistic regression"
"128",0.855537612813705,0.0157615480649189,0.795275590551181,"Logistic regression"
"129",0.854976266929485,0.0159176029962547,0.796875,"Logistic regression"
"130",0.854918072749983,0.0160736579275905,0.798449612403101,"Logistic regression"
"131",0.8547794253148,0.0162297128589263,0.8,"Logistic regression"
"132",0.854773106396121,0.0163857677902622,0.801526717557252,"Logistic regression"
"133",0.854752308353504,0.016541822721598,0.803030303030303,"Logistic regression"
"134",0.854730655591569,0.0166978776529338,0.804511278195489,"Logistic regression"
"135",0.854589568669118,0.0166978776529338,0.798507462686567,"Logistic regression"
"136",0.854475987644964,0.0168539325842697,0.8,"Logistic regression"
"137",0.854375189508127,0.0170099875156055,0.801470588235294,"Logistic regression"
"138",0.854133175187392,0.0171660424469413,0.802919708029197,"Logistic regression"
"139",0.85403395730919,0.0171660424469413,0.797101449275362,"Logistic regression"
"140",0.85377847879261,0.0173220973782772,0.798561151079137,"Logistic regression"
"141",0.853638448454071,0.017478152309613,0.8,"Logistic regression"
"142",0.853495733459019,0.0176342072409488,0.801418439716312,"Logistic regression"
"143",0.853303869568404,0.0177902621722846,0.802816901408451,"Logistic regression"
"144",0.853293206665481,0.0179463171036205,0.804195804195804,"Logistic regression"
"145",0.853066998819293,0.0181023720349563,0.805555555555556,"Logistic regression"
"146",0.852973064349311,0.0182584269662921,0.806896551724138,"Logistic regression"
"147",0.852939560020563,0.018414481897628,0.808219178082192,"Logistic regression"
"148",0.852843374275363,0.0185705368289638,0.80952380952381,"Logistic regression"
"149",0.852568120687279,0.0187265917602996,0.810810810810811,"Logistic regression"
"150",0.852494392383453,0.0188826466916355,0.812080536912752,"Logistic regression"
"151",0.852427565347227,0.0190387016229713,0.813333333333333,"Logistic regression"
"152",0.852372044966688,0.0191947565543071,0.814569536423841,"Logistic regression"
"153",0.852268545107232,0.0193508114856429,0.815789473684211,"Logistic regression"
"154",0.852138414165156,0.0195068664169788,0.816993464052288,"Logistic regression"
"155",0.851551583723944,0.0196629213483146,0.818181818181818,"Logistic regression"
"156",0.851376206232658,0.0198189762796504,0.819354838709677,"Logistic regression"
"157",0.85125309128718,0.0199750312109863,0.82051282051282,"Logistic regression"
"158",0.850839653935318,0.0201310861423221,0.821656050955414,"Logistic regression"
"159",0.850568575621772,0.0202871410736579,0.822784810126582,"Logistic regression"
"160",0.850389423482209,0.0204431960049938,0.823899371069182,"Logistic regression"
"161",0.850356375203651,0.0205992509363296,0.825,"Logistic regression"
"162",0.850230654813294,0.0207553058676654,0.826086956521739,"Logistic regression"
"163",0.849884322049343,0.0209113607990012,0.827160493827161,"Logistic regression"
"164",0.849773239273981,0.0210674157303371,0.828220858895706,"Logistic regression"
"165",0.849588821745716,0.0212234706616729,0.829268292682927,"Logistic regression"
"166",0.849400807138674,0.0213795255930087,0.83030303030303,"Logistic regression"
"167",0.849141752121588,0.0215355805243446,0.831325301204819,"Logistic regression"
"168",0.849113104333941,0.0216916354556804,0.832335329341317,"Logistic regression"
"169",0.84910730773204,0.0218476903870162,0.833333333333333,"Logistic regression"
"170",0.848931350497966,0.0220037453183521,0.834319526627219,"Logistic regression"
"171",0.848897267975103,0.0221598002496879,0.835294117647059,"Logistic regression"
"172",0.848832688831959,0.0223158551810237,0.83625730994152,"Logistic regression"
"173",0.848776857180508,0.0224719101123595,0.837209302325581,"Logistic regression"
"174",0.848737809446291,0.0226279650436954,0.838150289017341,"Logistic regression"
"175",0.848567090633395,0.0227840199750312,0.839080459770115,"Logistic regression"
"176",0.848458259270535,0.022940074906367,0.84,"Logistic regression"
"177",0.848376424853677,0.0230961298377029,0.840909090909091,"Logistic regression"
"178",0.84837133189677,0.0232521847690387,0.84180790960452,"Logistic regression"
"179",0.848324596012121,0.0234082397003745,0.842696629213483,"Logistic regression"
"180",0.848282083205368,0.0235642946317104,0.843575418994413,"Logistic regression"
"181",0.848188236118435,0.0237203495630462,0.844444444444444,"Logistic regression"
